name,dp_enabled,secagg_enabled,he_enabled,relax_with_secagg,epsilon,rmse,recall@5,ndcg@5,mia_auc,shadow_auc,support_precision,support_recall,wall_time_sec
no_defense,False,False,False,False,,3.453148067422167,0.02,0.02,0.502207672566954,0.4814070063465883,0.06493506493506493,1.0,0.0
dp_only,True,False,False,False,0.5,2054807.261804637,0.08,0.04035565121611999,0.5074389682174113,0.5,0.06493506493506493,1.0,0.0
secagg_only,False,True,False,False,,3.4531462691685535,0.02,0.02,0.502207672566954,0.48140557208935425,0.06493506493506493,1.0,0.0
dp_secagg,True,True,False,True,1.0,3139.9645908671855,0.14,0.06809270736081081,0.4933309205764296,0.5047882677758255,0.06493506493506493,1.0,0.0
dp_secagg_he,True,True,True,True,2.0,614.639553079231,0.14,0.06635058730615868,0.4908370073040732,0.5269704901574097,0.06493506493506493,1.0,0.0
